NO,store_order_code,order_date,store_delivery_code,delivery_date,store_name,address,total,total_with_discount,delivery_sts,discount_1,discount_2,discount_special,promotion_name,order_type,branch_name,salesman_name
23,FORD_291123_0170_NORM,2023-11-29,FDEL_291123_0159_NORM,2023-11-29,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",426000,426000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
24,FORD_271123_0153_NORM,2023-11-27,FDEL_281123_0144_NORM,2023-11-28,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",79000,79000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
25,FORD_201123_0102_NORM,2023-11-20,FDEL_201123_0098_NORM,2023-11-20,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",116000,116000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
26,FORD_171123_0094_NORM,2023-11-17,FDEL_171123_0092_NORM,2023-11-17,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",79000,79000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
27,FORD_131123_0067_NORM,2023-11-13,FDEL_131123_0066_NORM,2023-11-13,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",244000,244000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
28,FORD_131123_0065_NORM,2023-11-13,FDEL_131123_0065_NORM,2023-11-13,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",346000,346000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
29,FORD_111123_0063_NORM,2023-11-11,FDEL_111123_0063_NORM,2023-11-11,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",79000,79000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
30,FORD_101123_0060_NORM,2023-11-10,FDEL_101123_0060_NORM,2023-11-10,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",274000,274000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
31,FORD_111123_0061_NORM,2023-11-11,FDEL_111123_0061_NORM,2023-11-11,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",130000,130000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
32,FORD_101123_0057_NORM,2023-11-10,FDEL_101123_0057_NORM,2023-11-10,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",79000,79000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
33,FORD_101123_0058_NORM,2023-11-10,FDEL_101123_0058_NORM,2023-11-10,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",364000,364000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
34,FORD_101123_0059_NORM,2023-11-10,FDEL_101123_0059_NORM,2023-11-10,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",298000,298000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
35,FORD_061123_0035_NORM,2023-11-06,FDEL_061123_0026_NORM,2023-11-06,SHOPEE_OFFICIAL,"63 duong so 30, phuong Tan Phong, Quan 7",182000,182000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,C?a hàng n??c
36,FORD_061223_0036_NORM,2023-12-06,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,"A32 KDC Tân Thu?n Nam , Ph??ng Phú Thu?n, Huy?n Nhà Bè",5421000,1788930,Hoàn t?t,67,0,0,,1,CN Ho Chi Minh,
37,FORD_271223_0188_NORM,2023-12-27,FDEL_291223_0166_NORM,2023-12-29,C?A HÀNG TI?P NGÀ (KHÔNG B? PHI?U XU?T HÀNG),"Ph? Ch??ng, Xã Lam S?n, Huy?n Thanh Mi?n, H?i D??ng",112300000,71153280,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
38,FORD_261223_0179_NORM,2023-12-26,FDEL_291223_0168_NORM,2023-12-29,HAI CHÙA,"5 Tô V?nh Di?n, Nha Trang",3074000,2028840,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
39,FORD_131223_0098_NORM,2023-12-13,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),"??a ch? m?i: 137/39/4A Tr?nh ?ình Tr?ng, phú trung, Tân phú. ??a ch? c? : 2B L??ng Th? Vinh, P.Tân Th?i Hòa, Q.Tân Phú. ??a ch? Qu?n 5: 96 Gò Công",78702000,49865587.2,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
40,FORD_291223_0206_NORM,2023-12-29,FDEL_291223_0181_NORM,2023-12-29,CH TI?N NH?,"111 Nguy?n T? Gi?n, P.12, Q.Gò V?p",3132000,2067120,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
41,FORD_201223_0139_NORM,2023-12-20,FDEL_291223_0164_NORM,2023-12-29,CH TH?Y VÂN,"446 Cách M?ng Tháng 8, P. Phú C??ng, Tp. Th? D?u M?t, T?nh Bình D??ng",8920000,5651712,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
42,FORD_281223_0192_NORM,2023-12-28,FDEL_291223_0173_NORM,2023-12-29,CH Y?N TUY?T,"200 Lê L?i, TP Tuy Hoà, Phú Yên",14680000,9688800,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
43,FORD_291223_0203_NORM,2023-12-29,FDEL_291223_0183_NORM,2023-12-29,HÙNG M? XUYÊN ( CH MINH KÝ ),"S? 20 Tri?u N??ng, ?p Châu Thành, th? tr?n M? Xuyên, Huy?n M? Xuyên, T?nh Sóc Tr?ng",5094000,3362040,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
44,FORD_251223_0163_NORM,2023-12-25,FDEL_291223_0169_NORM,2023-12-29,CH HOÀNG D?NG,"15 Ngô Gia T?, Khóm 4, Ph??ng 6, TP. Sóc Tr?ng, T?nh Sóc Tr?ng ( Xu?t hóa ??n dán ngoài)",12850000,8481000,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
45,FORD_251223_0165_NORM,2023-12-25,FDEL_261223_0134_NORM,2023-12-26,CH HOÀNG THANH PHÁT,"32A ??i l? ??ng Kh?i, KP1, P. Phú Tân, TP B?n Tre, B?n Tre",26460000,17463600,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM2
46,FORD_191223_0127_NORM,2023-12-19,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,"597 Tr?n H?ng ??o, P. Lê H?ng Phong, TP. Quy Nh?n, Bình ??nh",63270000,40087872,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM5
47,FORD_201223_0130_NORM,2023-12-20,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,"117 Tr?n Phú, ph??ng 9, TP. Tuy Hòa, Phú Yên",49300000,31236480,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM5
48,FORD_231223_0159_NORM,2023-12-23,FDEL_231223_0132_NORM,2023-12-23,CH NGÂN LIÊM,"401 QL 80, KP. Ngã Ba, TT. Kiên L??ng, Kiên Giang",3940000,2600400,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
49,FORD_181223_0121_NORM,2023-12-18,FDEL_291223_0171_NORM,2023-12-29,CH NG?C CHÂU ( A MINH) - ?ÓNG THÙNG,"142 Lê Quang ??nh, P.14, Q.Bình Th?nh",53545000,33926112,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM5
50,FORD_181223_0119_NORM,2023-12-18,FDEL_291223_0167_NORM,2023-12-29,CH THU?N H?NG - KIÊN GIANG (?ÓNG BAO),"29 Nguy?n Chí Thanh, P.R?ch S?i, TP R?ch Giá, T?nh Kiên Giang",235090000,148953024,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM5
51,FORD_291123_0169_NORM,2023-11-29,FDEL_291223_0160_NORM,2023-12-29,B?C Á (XH?: CÔNG TY C? PH?N ??U T? VÀ PHÁT TRI?N B?C Á),"18/11 ???ng T? Thanh Oai, Thanh Trì, HN. ??a ch? nh?n hàng: Km s? 4 Phan Tr?ng Tu? (g?n ch? TM C?u B??u )Thanh Trì Hà N?i",20500000,12853500,Hoàn t?t,34,0,5,,1,CN Ho Chi Minh,SM1 - Minh
52,FORD_251223_0171_NORM,2023-12-25,FDEL_291223_0163_NORM,2023-12-29,B?C Á (XH?: CÔNG TY C? PH?N ??U T? VÀ PHÁT TRI?N B?C Á),"18/11 ???ng T? Thanh Oai, Thanh Trì, HN. ??a ch? nh?n hàng: Km s? 4 Phan Tr?ng Tu? (g?n ch? TM C?u B??u )Thanh Trì Hà N?i",23795000,15076512,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM1 - Minh
53,FORD_011223_0003_NORM,2023-12-01,FDEL_291223_0172_NORM,2023-12-29,CH VÂN QU?N 5 (XH?: LÝ V? THIÊM),"29 Nguy?n An Kh??ng, Ph??ng 13 , Qu?n 5, TP. H? Chí Minh",33240000,21060864,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
54,FORD_271223_0184_NORM,2023-12-27,FDEL_291223_0178_NORM,2023-12-29,C?A HÀNG ?NG N??C T?N H?NG,13 lý th??ng ki?t ph??ng 3. B?c Liêu,16825000,11104500,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
55,FORD_261223_0173_NORM,2023-12-26,FDEL_291223_0158_NORM,2023-12-29,CH V??NG ANH (CÔ V?),"961, KP2, P.Tân Hi?p, Biên Hòa, ??ng Nai",54650000,36069000,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
56,FORD_251223_0170_NORM,2023-12-25,FDEL_291223_0179_NORM,2023-12-29,C?A HÀNG NGÂN HÀ (XH? : L?U TH? HÀ),"924 L?c Long Quân, Ph??ng 8, Qu?n Tân Bình",15940000,10520400,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
57,FORD_291223_0204_NORM,2023-12-29,FDEL_291223_0177_NORM,2023-12-29,??C THÀNH ??T,220 gia phú p1q6,7780000,5134800,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
58,FORD_281223_0195_NORM,2023-12-28,FDEL_281223_0153_NORM,2023-12-28,C?A HÀNG CH??NG H?NG,"sô 33 Phan Ng?c Hi?n, P3, B?c Liêu.",13860000,9147600,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
59,FORD_261223_0172_NORM,2023-12-26,FDEL_291223_0161_NORM,2023-12-29,CH AN THANH BÌNH (XH?: CÔNG TY TNHH TH??NG M?I DICH V? XU?T NH?P KH?U AN THANH BÌNH),"88/27 M?C VÂN P12, Q8, TP.HCM",129290000,81064830,Hoàn t?t,34,0,5,,1,CN Ho Chi Minh,SM1 - Minh
60,FORD_261223_0181_NORM,2023-12-26,FDEL_291223_0182_NORM,2023-12-29,CH PHÁT,"231/51/29 Bình Tiên, P8, Q6",41643000,27484380,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
61,FORD_281223_0196_NORM,2023-12-28,FDEL_281223_0155_NORM,2023-12-28,CH TR?N LIÊN H?NG,"124 Lý Th??ng Ki?t, Sóc Tr?ng (qua c?u R?ch Cây) (Xu?t hóa ??n dán ngoài)",5730000,3781800,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
62,FORD_261223_0176_NORM,2023-12-26,FDEL_281223_0151_NORM,2023-12-28,C?A HÀNG T?P NGUYÊN (XH? : D??NG NG?C H??NG),"08 Lý Bôn, Khóm 2, Ph??ng 2, TP. Cà Mau, T?nh Cà Mau",11360000,7497600,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
63,FORD_261223_0178_NORM,2023-12-26,FDEL_261223_0144_NORM,2023-12-26,B?I - CTY H?U LONG - 0983597177,"597 Tr?n H?ng ??o, P. Lê H?ng Phong, TP. Quy Nh?n, Bình ??nh",129994000,82364198.4,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM5
64,FORD_281223_0200_NORM,2023-12-28,FDEL_281223_0157_NORM,2023-12-28,CH HOÀNG TU?N,"94 Ông Ích Khiêm, P.5 , Q.11",4293000,2776712.4,Hoàn t?t,34,0,2,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
65,FORD_271223_0187_NORM,2023-12-27,FDEL_271223_0147_NORM,2023-12-27,CH ?I?N N??C TR??NG TÚ,"84 Nguy?n Chí Thanh, ph??ng Tân Bình, TX LaGi",3120000,2018016,Hoàn t?t,34,0,2,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
66,FORD_021023_0006_NORM,2023-10-02,FDEL_021023_0004_NORM,2023-10-02,CH PHÁT,"231/51/29 Bình Tiên, P8, Q6",19080000,12592800,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
67,FORD_021023_0008_NORM,2023-10-02,FDEL_021023_0006_NORM,2023-10-02,C?A HÀNG NGÂN HÀ (XH? : L?U TH? HÀ),"924 L?c Long Quân, Ph??ng 8, Qu?n Tân Bình",385000,254100,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
68,FORD_021023_0005_NORM,2023-10-02,FDEL_021023_0005_NORM,2023-10-02,C?A HÀNG NGÂN HÀ (XH? : L?U TH? HÀ),"924 L?c Long Quân, Ph??ng 8, Qu?n Tân Bình",8323000,5493180,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
69,FORD_281223_0197_NORM,2023-12-28,FDEL_281223_0156_NORM,2023-12-28,CH ??I H?NG,"12 Hoàng Thái Hi?u, P1, TP.V?nh Long",7470000,4930200,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
70,FORD_281223_0198_NORM,2023-12-28,FDEL_281223_0154_NORM,2023-12-28,CôNG TY TNHH LAVIE DECOR,"63, ???ng 30, P. Tân Phong, Q.7, TPHCM",78000,51480,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
71,FORD_281223_0194_NORM,2023-12-28,FDEL_281223_0152_NORM,2023-12-28,C?A HÀNG NGÂN HÀ (XH? : L?U TH? HÀ),"924 L?c Long Quân, Ph??ng 8, Qu?n Tân Bình",28076000,18530160,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
72,FORD_221223_0153_NORM,2023-12-22,FDEL_221223_0128_NORM,2023-12-22,HI?P PHáT ( GHI NGOàI THùNG G?I CH? HOàNG - CH HI?P PHáT Cà MAU ),"89 Lê L?i, Ph??ng 2, Thành ph? Cà Mau, Cà Mau, Vi?t Nam",27735000,18305100,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM5
73,FORD_251223_0168_NORM,2023-12-25,FDEL_261223_0137_NORM,2023-12-26,C?A HÀNG ?I?N N??C THANH H?I (GHI SDT LÊN THÙNG HÀNG),"B93 Võ V?n T?n, Ph??ng Phú Tài, Tp Phan Thi?t, Bình Thu?n",291000,192060,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
74,FORD_251223_0169_NORM,2023-12-25,FDEL_261223_0141_NORM,2023-12-26,CÔNG TY TBVS ??NG KH?I (KHÔNG C?N B? KÈM PHI?U XU?T),"Th?a ??t s? 1410, t? b?n ?? s? 02, Qu?c l? 1A, Khu v?c 2 - Ph??ng Ba Láng - Qu?n Cái R?ng - C?n Th?.",12040000,7708008,Hoàn t?t,34,0,3,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
75,FORD_221223_0148_NORM,2023-12-22,FDEL_271223_0149_NORM,2023-12-27,C?A HÀNG TI?P NGÀ (KHÔNG B? PHI?U XU?T HÀNG),"Ph? Ch??ng, Xã Lam S?n, Huy?n Thanh Mi?n, H?i D??ng",25095000,15900192,Hoàn t?t,34,0,4,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
76,FORD_271223_0185_NORM,2023-12-27,FDEL_271223_0148_NORM,2023-12-27,CH ??NG GIA,"38 Ngô Gia T?, ph??ng 9, tp Bà r?a v?ng tàu",3350000,2211000,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
77,FORD_091223_0065_NORM,2023-12-09,FDEL_091223_0050_NORM,2023-12-09,C?A HÀNG VINH SIM,"?p Th? Tr?n B, th? tr?n Hòa Bình, Huy?n Hoà Bình, T?nh B?c Liêu",990000,653400,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
78,FORD_081223_0057_NORM,2023-12-08,FDEL_081223_0044_NORM,2023-12-08,GIA KHANG,"2639H Lý Thái T?, ?p Ph??c Lý, xã ??i Ph??c, Nh?n Tr?ch, ??ng Nai",3083000,2034780,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
79,FORD_221223_0150_NORM,2023-12-22,FDEL_261223_0143_NORM,2023-12-26,CH AN THANH BÌNH (XH?: CÔNG TY TNHH TH??NG M?I DICH V? XU?T NH?P KH?U AN THANH BÌNH),"88/27 M?C VÂN P12, Q8, TP.HCM",190109000,119198343,Hoàn t?t,34,0,5,,1,CN Ho Chi Minh,SM1 - Minh
80,FORD_271223_0186_NORM,2023-12-27,FDEL_271223_0146_NORM,2023-12-27,CH BÍCH H?NG,"70/7 KP 5A PH??NG TÂN BIÊN , TP BIÊN HÒA ,T?NH ??NG NAI",6608000,4361280,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
81,FORD_261223_0175_NORM,2023-12-26,FDEL_261223_0139_NORM,2023-12-26,CH ANH H??NG,"549/5C v??n Lài , An Phú ?ông ,Q12",7684000,5071440,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
82,FORD_211223_0141_NORM,2023-12-21,FDEL_211223_0117_NORM,2023-12-21,CH PH?M TH?NG ??NG NAI,"121 Nguy?n Ái Qu?c, Ph??ng Tân Biên, Biên Hòa, ??ng Nai",20470000,13510200,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
83,FORD_181223_0116_NORM,2023-12-18,FDEL_181223_0101_NORM,2023-12-18,VINH QUANG,"S? 42 ???ng Tôn ??c Th?ng, Khóm 7, ph??ng 1, thành ph? B?c Liêu, t?nh B?c Liêu (Bên ngoài thùng ghi: Ng??i nh?n Lý H?u L?i: 0944 263 466)",4889000,3226740,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
84,FORD_151223_0111_NORM,2023-12-15,FDEL_151223_0095_NORM,2023-12-15,CH HUE PHONG,"94 Th? Khoa Huân, Châu Phú B, Châu ??c, An Giang, Vi?t Nam",4500000,2970000,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
85,FORD_121223_0093_NORM,2023-12-12,FDEL_131223_0077_NORM,2023-12-13,CH KHÁNH LAN,"603-605 H?u Giang, P11, Q6",7669000,5061540,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
86,FORD_111223_0067_NORM,2023-12-11,FDEL_111223_0057_NORM,2023-12-11,TI?M ?NG N??C M?C HI?P,29 ???NG PHAN NG?C HI?N,7592000,5010720,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
87,FORD_081223_0064_NORM,2023-12-08,FDEL_081223_0048_NORM,2023-12-08,C?A HÀNG VINH SIM,"?p Th? Tr?n B, th? tr?n Hòa Bình, Huy?n Hoà Bình, T?nh B?c Liêu",5340000,3524400,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM1 - Minh
88,FORD_081223_0053_NORM,2023-12-08,FDEL_091223_0049_NORM,2023-12-09,CTY KHAI NGUYÊN,"S? 58 V?nh Qu?nh- Thanh Trì, Hà N?i",100000000,100000000,Hoàn t?t,0,0,0,,1,CN Ho Chi Minh,SM1 - Minh
89,FORD_231223_0162_NORM,2023-12-23,FDEL_271223_0145_NORM,2023-12-27,CH HOÀNG PH??NG B?C NINH - KHÔNG GIAO PHI?U XU?T ( XH?: CTY TNHH PH??NG HOÀNG XANH CPT ),"27 Lê ??c Th?, P V? Ninh, TP B?c Ninh",3115000,2055900,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
90,FORD_261223_0174_NORM,2023-12-26,FDEL_261223_0138_NORM,2023-12-26,CH PHÚ QUY?N,"Bà Tô, Bà R?a, V?ng Tàu",9280000,6124800,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
91,FORD_191223_0125_NORM,2023-12-19,FDEL_261223_0140_NORM,2023-12-26,?A PH??C (CH?N NGHI?P C?) - ( XH? CTY TNHH DV TM SA?I GO?N NGUY?N - ?A PH??C),"Giao ? 64 ?a Ph??c, ?p 5, xã ?a Ph??c, huy?n Bình Chánh. 143 ?? Xuân H?p, Q2. A Nam 18 M?c C?u, P13, Q5. 028 3857 6611. ?c: 342/2 D??ng Bá Tr?c, P1, Q8",3535000,2333100,Hoàn t?t,34,0,0,,1,CN Ho Chi Minh,SM3 - Nguyen Huynh
