store_delivery_code,product_code,amount
27,WT001Q-6HBVXTR-1,50
27,WT001V-6HSVSTR-3,10
28,WT000G-6L0VHTR-1,100
28,WT001I-6L0VHTR-1,200
28,WT001Q-6HBVXTR-1,10
28,WT001R-6HBVXTM-1,10
28,WT001X-6HSPSTR-1,10
28,WT001H-6P2V3TR-3,20
28,WT002N-6QUVCTR-6,10
28,WT002S-6QUVLMT-1,10
29,WT0002-6MOVLTR-6,200
29,WT0003-6QUVLTR-6,210
29,WT000B-6T0VHTR-1,1000
29,WT000G-6L0VHTR-1,1000
29,WT001I-6L0VHTR-1,1000
29,WT001K-6L2VHTR-6,0
29,WT001Q-6HBVXTR-1,1950
29,WT001W-6HSVSTR-1,40
29,WT001Y-6HSPDTR-1,960
29,WT0017-6MOVCTR-6,100
29,WT0018-6QUVCTR-6,180
29,WT002N-6QUVCTR-6,200
29,WT002R-6QUVHMT-6,120
30,WT001R-6HBVXTM-1,25
30,WT001X-6HSPSTR-1,10
31,WT001Q-6HBVXTR-1,100
32,WT001Q-6HBVXTR-1,50
33,WT000F-6T0VHTR-1,100
33,WT000G-6L0VHTR-1,200
33,WT001Q-6HBVXTR-1,50
33,WT001R-6HBVXTM-1,50
33,WT001V-6HSVSTR-3,36
33,WT001W-6HSVSTR-1,40
33,WT001Y-6HSPDTR-1,50
33,WT002N-6QUVCTR-6,70
34,WT000F-6T0VHTR-1,300
34,WT000G-6L0VHTR-1,200
35,WT001L-6L2VHTR-1,80
36,WT0003-6QUVLTR-6,20
36,WT001Q-6HBVXTR-1,50
36,WT0018-6QUVCTR-6,20
37,WT0002-6MOVLTR-6,40
37,WT000F-6T0VHTR-1,1000
37,WT000G-6L0VHTR-1,500
37,WT001L-6L2VHTR-1,400
37,WT001M-6VIVHTR-6,100
37,WT001Q-6HBVXTR-1,700
37,WT002M-6MOVCTR-6,70
37,WT002N-6QUVCTR-6,70
38,WT001I-6L0VHTR-1,200
38,WT0018-6QUVCTR-6,60
38,WT002S-6QUVLMT-1,120
39,WT001R-6HBVXTM-1,25
40,WT001V-6HSVSTR-3,36
41,WT001I-6L0VHTR-1,400
41,WT001L-6L2VHTR-1,40
41,WT001M-6VIVHTR-6,40
41,WT001Q-6HBVXTR-1,100
41,WT001S-6HBPXTM-1,132
41,WT0019-6PIVCTR-3,40
41,WT002L-6BKB3TR-3,10
41,WT002S-6QUVLMT-1,90
42,WT001Q-6HBVXTR-1,30
43,WT000B-6T0VHTR-1,500
44,WT001M-6VIVHTR-6,100
45,WT000F-6T0VHTR-1,200
45,WT001Q-6HBVXTR-1,50
46,WT000G-6L0VHTR-1,200
46,WT001Q-6HBVXTR-1,100
46,WT001R-6HBVXTM-1,25
46,WT001Y-6HSPDTR-1,520
47,WT001G-6P0V2TR-3,10
48,WT0002-6MOVLTR-6,30
48,WT000B-6T0VHTR-1,189
48,WT000G-6L0VHTR-1,300
48,WT001Q-6HBVXTR-1,30
48,WT0017-6MOVCTR-6,10
48,WT001E-6K2V3TR-6,40
48,WT002M-6MOVCTR-6,5
48,WT002N-6QUVCTR-6,5
49,WT0003-6QUVLTR-6,0
49,WT000B-6T0VHTR-1,300
49,WT001I-6L0VHTR-1,0
49,WT001M-6VIVHTR-6,20
49,WT001X-6HSPSTR-1,20
50,WT0002-6MOVLTR-6,5
50,WT0003-6QUVLTR-6,0
50,WT001Q-6HBVXTR-1,5
50,WT001S-6HBPXTM-1,0
50,WT0017-6MOVCTR-6,5
50,WT0018-6QUVCTR-6,0
51,WT001G-6P0V2TR-3,50
51,WT001H-6P2V3TR-3,50
52,WT000B-6T0VHTR-1,100
52,WT000F-6T0VHTR-1,200
52,WT001L-6L2VHTR-1,78
52,WT001Q-6HBVXTR-1,120
53,WT0002-6MOVLTR-6,171
53,WT000B-6T0VHTR-1,500
53,WT001I-6L0VHTR-1,500
53,WT001Q-6HBVXTR-1,500
53,WT001G-6P0V2TR-3,134
54,WT000B-6T0VHTR-1,400
54,WT001I-6L0VHTR-1,400
54,WT001Q-6HBVXTR-1,200
54,WT001A-6TIVCTR-1,100
54,WT002Q-6TIVCTR-1,120
55,WT0003-6QUVLTR-6,300
55,WT001Q-6HBVXTR-1,1500
55,WT001Z-6HSPDTR-1,100
55,WT0018-6QUVCTR-6,300
55,WT002R-6QUVHMT-6,120
56,WT0002-6MOVLTR-6,0
56,WT0003-6QUVLTR-6,30
56,WT001K-6L2VHTR-6,20
56,WT001L-6L2VHTR-1,40
56,WT001M-6VIVHTR-6,0
56,WT001Q-6HBVXTR-1,200
56,WT001R-6HBVXTM-1,0
56,WT001S-6HBPXTM-1,0
56,WT001W-6HSVSTR-1,200
56,WT001Y-6HSPDTR-1,80
56,WT001Z-6HSPDTR-1,50
56,WT0017-6MOVCTR-6,10
56,WT0018-6QUVCTR-6,20
56,WT001H-6P2V3TR-3,0
56,WT002K-6MOV3TR-6,0
56,WT002N-6QUVCTR-6,10
57,WT0002-6MOVLTR-6,120
57,WT0003-6QUVLTR-6,120
57,WT000B-6T0VHTR-1,800
57,WT000G-6L0VHTR-1,236
57,WT001I-6L0VHTR-1,800
57,WT001K-6L2VHTR-6,160
57,WT001M-6VIVHTR-6,0
57,WT001Q-6HBVXTR-1,500
57,WT001W-6HSVSTR-1,320
57,WT001X-6HSPSTR-1,40
57,WT001Y-6HSPDTR-1,240
57,WT001Z-6HSPDTR-1,500
57,WT0017-6MOVCTR-6,100
57,WT0018-6QUVCTR-6,120
57,WT002K-6MOV3TR-6,0
57,WT002L-6BKB3TR-3,50
57,WT002U-6HDVXTX-1,0
58,WT0003-6QUVLTR-6,120
58,WT001I-6L0VHTR-1,1000
58,WT001Z-6HSPDTR-1,50
58,WT0018-6QUVCTR-6,240
58,WT002K-6MOV3TR-6,0
59,WT0003-6QUVLTR-6,210
59,WT001Q-6HBVXTR-1,100
59,WT001R-6HBVXTM-1,0
59,WT001V-6HSVSTR-3,0
59,WT001Y-6HSPDTR-1,0
59,WT001Z-6HSPDTR-1,400
59,WT0018-6QUVCTR-6,200
59,WT002R-6QUVHMT-6,80
60,WT0003-6QUVLTR-6,60
60,WT001Q-6HBVXTR-1,750
60,WT001R-6HBVXTM-1,0
60,WT001S-6HBPXTM-1,0
60,WT001V-6HSVSTR-3,0
60,WT001W-6HSVSTR-1,80
60,WT001Y-6HSPDTR-1,80
60,WT001Z-6HSPDTR-1,200
60,WT002K-6MOV3TR-6,0
61,WT0003-6QUVLTR-6,30
61,WT001I-6L0VHTR-1,300
61,WT001S-6HBPXTM-1,0
61,WT001Z-6HSPDTR-1,10
61,WT0018-6QUVCTR-6,20
61,WT002K-6MOV3TR-6,0
64,WT0003-6QUVLTR-6,5
64,WT001S-6HBPXTM-1,0
64,WT0018-6QUVCTR-6,5
64,WT001E-6K2V3TR-6,0
65,WT0002-6MOVLTR-6,80
65,WT0003-6QUVLTR-6,120
65,WT000F-6T0VHTR-1,200
65,WT000G-6L0VHTR-1,200
65,WT001I-6L0VHTR-1,200
65,WT0017-6MOVCTR-6,50
65,WT0018-6QUVCTR-6,60
65,WT0019-6PIVCTR-3,100
65,WT001E-6K2V3TR-6,0
65,WT001H-6P2V3TR-3,0
66,WT0002-6MOVLTR-6,0
66,WT0003-6QUVLTR-6,10
66,WT000F-6T0VHTR-1,5
66,WT000G-6L0VHTR-1,0
66,WT001I-6L0VHTR-1,5
66,WT001E-6K2V3TR-6,0
66,WT002K-6MOV3TR-6,0
67,WT0003-6QUVLTR-6,90
67,WT001K-6L2VHTR-6,80
67,WT001Q-6HBVXTR-1,2000
67,WT001Y-6HSPDTR-1,320
67,WT001Z-6HSPDTR-1,300
67,WT0018-6QUVCTR-6,240
68,WT0002-6MOVLTR-6,0
68,WT0003-6QUVLTR-6,10
68,WT000F-6T0VHTR-1,30
68,WT001I-6L0VHTR-1,10
68,WT001K-6L2VHTR-6,10
68,WT001V-6HSVSTR-3,0
68,WT001W-6HSVSTR-1,0
68,WT0018-6QUVCTR-6,10
68,WT0019-6PIVCTR-3,10
68,WT001E-6K2V3TR-6,0
68,WT002R-6QUVHMT-6,20
68,WT002S-6QUVLMT-1,10
70,WT0002-6MOVLTR-6,1
70,WT0003-6QUVLTR-6,1
70,WT001R-6HBVXTM-1,1
70,WT001V-6HSVSTR-3,1
70,WT0018-6QUVCTR-6,1
70,WT002K-6MOV3TR-6,1
71,WT0002-6MOVLTR-6,0
71,WT000F-6T0VHTR-1,20
71,WT001M-6VIVHTR-6,6
71,WT001V-6HSVSTR-3,0
71,WT001Z-6HSPDTR-1,10
71,WT0017-6MOVCTR-6,5
71,WT0018-6QUVCTR-6,5
71,WT002U-6HDVXTX-1,0
72,WT0003-6QUVLTR-6,90
72,WT001L-6L2VHTR-1,80
72,WT001Q-6HBVXTR-1,500
72,WT001R-6HBVXTM-1,0
72,WT001S-6HBPXTM-1,0
72,WT001V-6HSVSTR-3,7
72,WT001W-6HSVSTR-1,40
72,WT001X-6HSPSTR-1,10
72,WT001Z-6HSPDTR-1,200
73,WT0002-6MOVLTR-6,0
73,WT0003-6QUVLTR-6,10
73,WT001R-6HBVXTM-1,0
73,WT001S-6HBPXTM-1,0
73,WT001T-6HBVXTK-1,0
73,WT0018-6QUVCTR-6,10
73,WT001H-6P2V3TR-3,20
73,WT002K-6MOV3TR-6,0
74,WT001K-6L2VHTR-6,40
74,WT001M-6VIVHTR-6,0
74,WT001Q-6HBVXTR-1,100
74,WT001R-6HBVXTM-1,0
74,WT001S-6HBPXTM-1,0
74,WT001V-6HSVSTR-3,0
74,WT002K-6MOV3TR-6,0
75,WT000B-6T0VHTR-1,200
75,WT001I-6L0VHTR-1,200
75,WT001Q-6HBVXTR-1,100
76,WT000B-6T0VHTR-1,50
76,WT001I-6L0VHTR-1,50
76,WT001Q-6HBVXTR-1,300
76,WT001A-6TIVCTR-1,15
76,WT002Q-6TIVCTR-1,15
77,WT0003-6QUVLTR-6,10
77,WT001S-6HBPXTM-1,0
77,WT001Y-6HSPDTR-1,0
77,WT001Z-6HSPDTR-1,20
77,WT0018-6QUVCTR-6,10
77,WT002K-6MOV3TR-6,0
79,WT000B-6T0VHTR-1,10
79,WT001Q-6HBVXTR-1,5
79,WT001S-6HBPXTM-1,0
79,WT001W-6HSVSTR-1,5
80,WT000B-6T0VHTR-1,20
80,WT001H-6P2V3TR-3,10
80,WT002K-6MOV3TR-6,0
80,WT002S-6QUVLMT-1,5
81,WT0003-6QUVLTR-6,30
81,WT001I-6L0VHTR-1,50
81,WT001Q-6HBVXTR-1,20
81,WT001W-6HSVSTR-1,40
81,WT0017-6MOVCTR-6,20
83,WT001Z-6HSPDTR-1,100
84,WT001M-6VIVHTR-6,0
84,WT001R-6HBVXTM-1,0
84,WT0018-6QUVCTR-6,0
85,WT001R-6HBVXTM-1,0
85,WT001Y-6HSPDTR-1,0
85,WT001Z-6HSPDTR-1,10
85,WT0017-6MOVCTR-6,5
85,WT0018-6QUVCTR-6,5
86,WT0003-6QUVLTR-6,2
86,WT0017-6MOVCTR-6,4
86,WT0018-6QUVCTR-6,4
86,WT002S-6QUVLMT-1,2
87,WT001G-6P0V2TR-3,240
87,WT001H-6P2V3TR-3,264
88,WT001I-6L0VHTR-1,3000
88,WT0018-6QUVCTR-6,120
89,WT0003-6QUVLTR-6,60
89,WT001W-6HSVSTR-1,40
90,WT0003-6QUVLTR-6,210
90,WT000B-6T0VHTR-1,1000
90,WT001I-6L0VHTR-1,1000
90,WT001Q-6HBVXTR-1,1500
90,WT001Y-6HSPDTR-1,80
90,WT0018-6QUVCTR-6,131
90,WT002N-6QUVCTR-6,300
91,WT001Q-6HBVXTR-1,50
91,WT001R-6HBVXTM-1,0
91,WT001S-6HBPXTM-1,0
91,WT0017-6MOVCTR-6,20
92,WT001Q-6HBVXTR-1,400
93,WT001Q-6HBVXTR-1,150
94,WT001Q-6HBVXTR-1,600
94,WT001X-6HSPSTR-1,15
94,WT001E-6K2V3TR-6,1
94,WT001H-6P2V3TR-3,1
95,WT0002-6MOVLTR-6,9
95,WT001R-6HBVXTM-1,50
95,WT001S-6HBPXTM-1,80
95,WT001T-6HBVXTK-1,0
95,WT001U-6HBVXTX-1,0
95,WT002K-6MOV3TR-6,40
96,WT0004-6VIVLTR-6,20
96,WT000D-6T0VHTR-1,20
96,WT000F-6T0VHTR-1,200
96,WT000H-6VIVHTR-6,30
96,WT001Y-6HSPDTR-1,0
96,WT001Z-6HSPDTR-1,200
96,WT002K-6MOV3TR-6,20
97,WT0003-6QUVLTR-6,90
97,WT000G-6L0VHTR-1,300
97,WT001I-6L0VHTR-1,0
97,WT001M-6VIVHTR-6,0
97,WT001R-6HBVXTM-1,125
97,WT001S-6HBPXTM-1,80
97,WT001X-6HSPSTR-1,40
97,WT001Y-6HSPDTR-1,0
97,WT001Z-6HSPDTR-1,100
97,WT0018-6QUVCTR-6,0
98,WT001M-6VIVHTR-6,0
98,WT001R-6HBVXTM-1,50
98,WT001S-6HBPXTM-1,80
98,WT001V-6HSVSTR-3,24
98,WT002K-6MOV3TR-6,40
98,WT002U-6HDVXTX-1,0
99,WT0002-6MOVLTR-6,5
99,WT000G-6L0VHTR-1,5
99,WT002K-6MOV3TR-6,10
101,WT0002-6MOVLTR-6,5
101,WT0003-6QUVLTR-6,10
101,WT001S-6HBPXTM-1,10
101,WT001U-6HBVXTX-1,0
101,WT001V-6HSVSTR-3,5
101,WT002U-6HDVXTX-1,0
102,WT0004-6VIVLTR-6,20
102,WT000D-6T0VHTR-1,60
102,WT000G-6L0VHTR-1,200
102,WT000H-6VIVHTR-6,30
102,WT001M-6VIVHTR-6,0
102,WT001T-6HBVXTK-1,0
102,WT001U-6HBVXTX-1,0
102,WT0010-6HYVCMB-3,15
102,WT0012-6HYVCMB-3,10
102,WT002K-6MOV3TR-6,160
102,WT002U-6HDVXTX-1,0
103,WT0004-6VIVLTR-6,20
103,WT000D-6T0VHTR-1,60
103,WT000G-6L0VHTR-1,100
103,WT000H-6VIVHTR-6,30
103,WT001I-6L0VHTR-1,400
103,WT001Q-6HBVXTR-1,150
103,WT001R-6HBVXTM-1,625
103,WT001S-6HBPXTM-1,800
103,WT001V-6HSVSTR-3,180
103,WT001Z-6HSPDTR-1,50
103,WT002K-6MOV3TR-6,320
104,WT0002-6MOVLTR-6,10
104,WT0004-6VIVLTR-6,20
104,WT000D-6T0VHTR-1,20
104,WT000F-6T0VHTR-1,500
104,WT000G-6L0VHTR-1,300
104,WT000H-6VIVHTR-6,30
104,WT001M-6VIVHTR-6,0
104,WT001R-6HBVXTM-1,125
104,WT001S-6HBPXTM-1,80
104,WT001V-6HSVSTR-3,120
104,WT001H-6P2V3TR-3,0
104,WT002K-6MOV3TR-6,20
106,WT001S-6HBPXTM-1,80
106,WT001Z-6HSPDTR-1,0
106,WT002K-6MOV3TR-6,40
108,WT001S-6HBPXTM-1,40
108,WT001Y-6HSPDTR-1,0
108,WT002K-6MOV3TR-6,30
109,WT002K-6MOV3TR-6,5
110,WT001R-6HBVXTM-1,100
110,WT001U-6HBVXTX-1,0
110,WT001V-6HSVSTR-3,60
110,WT001Y-6HSPDTR-1,0
110,WT001Z-6HSPDTR-1,50
111,WT001Z-6HSPDTR-1,200
111,WT002K-6MOV3TR-6,120
112,WT0003-6QUVLTR-6,150
112,WT0004-6VIVLTR-6,20
112,WT000H-6VIVHTR-6,30
112,WT001Q-6HBVXTR-1,1500
112,WT001R-6HBVXTM-1,850
112,WT001S-6HBPXTM-1,800
112,WT001V-6HSVSTR-3,48
112,WT0018-6QUVCTR-6,300
112,WT002K-6MOV3TR-6,2520
113,WT001L-6L2VHTR-1,20
113,WT001R-6HBVXTM-1,25
113,WT001S-6HBPXTM-1,20
113,WT001X-6HSPSTR-1,10
113,WT001Y-6HSPDTR-1,0
113,WT001Z-6HSPDTR-1,100
113,WT002B-6HBVXKE-1,0
113,WT002D-6HBVXXL-1,0
113,WT002H-6HBVXTX-1,0
114,WT001R-6HBVXTM-1,15
114,WT001S-6HBPXTM-1,50
115,WT001R-6HBVXTM-1,10
115,WT001Y-6HSPDTR-1,0
116,WT001S-6HBPXTM-1,10
117,WT002K-6MOV3TR-6,200
118,WT000D-6T0VHTR-1,60
119,WT001S-6HBPXTM-1,10
119,WT001W-6HSVSTR-1,5
119,WT002K-6MOV3TR-6,5
120,WT001R-6HBVXTM-1,25
121,WT0003-6QUVLTR-6,33
121,WT001S-6HBPXTM-1,80
122,WT000D-6T0VHTR-1,40
124,WT001S-6HBPXTM-1,80
124,WT002K-6MOV3TR-6,80
125,WT001Q-6HBVXTR-1,100
125,WT001S-6HBPXTM-1,80
126,WT001Q-6HBVXTR-1,5
127,WT001L-6L2VHTR-1,40
127,WT001S-6HBPXTM-1,80
128,WT000G-6L0VHTR-1,100
128,WT001Q-6HBVXTR-1,150
128,WT001T-6HBVXTK-1,0
128,WT001U-6HBVXTX-1,0
128,WT002U-6HDVXTX-1,400
128,WT002B-6HBVXKE-1,50
128,WT002C-6HBVXXD-1,50
128,WT002D-6HBVXXL-1,50
128,WT002G-6HBVXTX-1,40
129,WT001T-6HBVXTK-1,100
129,WT001U-6HBVXTX-1,100
129,WT002U-6HDVXTX-1,400
129,WT002B-6HBVXKE-1,100
129,WT002C-6HBVXXD-1,100
129,WT002D-6HBVXXL-1,50
129,WT002G-6HBVXTX-1,100
130,WT001T-6HBVXTK-1,50
130,WT001U-6HBVXTX-1,50
130,WT002U-6HDVXTX-1,50
130,WT002C-6HBVXXD-1,50
130,WT002D-6HBVXXL-1,50
130,WT002G-6HBVXTX-1,40
131,WT001T-6HBVXTK-1,500
131,WT001U-6HBVXTX-1,600
131,WT0017-6MOVCTR-6,100
131,WT002U-6HDVXTX-1,50
131,WT002B-6HBVXKE-1,50
131,WT002D-6HBVXXL-1,50
131,WT002G-6HBVXTX-1,20
132,WT001T-6HBVXTK-1,50
132,WT001U-6HBVXTX-1,50
132,WT002U-6HDVXTX-1,20
132,WT002B-6HBVXKE-1,20
132,WT002C-6HBVXXD-1,20
133,WT001Q-6HBVXTR-1,100
133,WT001V-6HSVSTR-3,24
133,WT002B-6HBVXKE-1,5
133,WT002C-6HBVXXD-1,5
133,WT002D-6HBVXXL-1,5
134,WT001X-6HSPSTR-1,10
135,WT001V-6HSVSTR-3,2
135,WT002R-6QUVHMT-6,1
135,WT002S-6QUVLMT-1,1
137,WT000G-6L0VHTR-1,2000
138,WT001Q-6HBVXTR-1,100
138,WT002K-6MOV3TR-6,40
139,WT0002-6MOVLTR-6,80
139,WT001T-6HBVXTK-1,10
139,WT001U-6HBVXTX-1,10
139,WT001X-6HSPSTR-1,10
139,WT002U-6HDVXTX-1,10
139,WT002B-6HBVXKE-1,10
139,WT002C-6HBVXXD-1,10
139,WT002D-6HBVXXL-1,10
139,WT002G-6HBVXTX-1,10
140,WT001X-6HSPSTR-1,50
140,WT001Z-6HSPDTR-1,800
140,WT0010-6HYVCMB-3,30
140,WT0012-6HYVCMB-3,30
141,WT000F-6T0VHTR-1,25
141,WT000G-6L0VHTR-1,5
141,WT001I-6L0VHTR-1,20
141,WT0018-6QUVCTR-6,2
141,WT0019-6PIVCTR-3,2
142,WT001K-6L2VHTR-6,40
142,WT001Q-6HBVXTR-1,300
142,WT001S-6HBPXTM-1,80
142,WT001X-6HSPSTR-1,15
142,WT0018-6QUVCTR-6,120
143,WT000D-6T0VHTR-1,40
143,WT002R-6QUVHMT-6,30
143,WT002S-6QUVLMT-1,30
144,WT001Q-6HBVXTR-1,50
144,WT0018-6QUVCTR-6,100
145,WT001Q-6HBVXTR-1,20
146,WT000G-6L0VHTR-1,500
146,WT001I-6L0VHTR-1,2000
146,WT001Q-6HBVXTR-1,500
146,WT001S-6HBPXTM-1,480
146,WT001V-6HSVSTR-3,41
146,WT001W-6HSVSTR-1,80
146,WT001Z-6HSPDTR-1,250
146,WT0018-6QUVCTR-6,300
147,WT0002-6MOVLTR-6,320
147,WT001I-6L0VHTR-1,1500
147,WT001R-6HBVXTM-1,0
147,WT001Y-6HSPDTR-1,0
147,WT001Z-6HSPDTR-1,1000
147,WT0017-6MOVCTR-6,500
147,WT0018-6QUVCTR-6,600
147,WT002M-6MOVCTR-6,210
147,WT002N-6QUVCTR-6,210
148,WT000B-6T0VHTR-1,500
148,WT000F-6T0VHTR-1,600
148,WT001Q-6HBVXTR-1,400
148,WT001S-6HBPXTM-1,80
148,WT001W-6HSVSTR-1,40
148,WT001Y-6HSPDTR-1,0
148,WT001Z-6HSPDTR-1,200
149,WT0002-6MOVLTR-6,3
149,WT000B-6T0VHTR-1,3
149,WT000D-6T0VHTR-1,3
149,WT000F-6T0VHTR-1,3
149,WT000G-6L0VHTR-1,3
149,WT001I-6L0VHTR-1,3
149,WT001K-6L2VHTR-6,3
149,WT001Q-6HBVXTR-1,3
149,WT001S-6HBPXTM-1,3
149,WT001U-6HBVXTX-1,1
149,WT001W-6HSVSTR-1,3
149,WT001Z-6HSPDTR-1,4
149,WT0018-6QUVCTR-6,3
149,WT002K-6MOV3TR-6,3
149,WT002R-6QUVHMT-6,3
149,WT002S-6QUVLMT-1,3
149,WT002U-6HDVXTX-1,3
149,WT002G-6HBVXTX-1,4
150,WT0003-6QUVLTR-6,0
150,WT000B-6T0VHTR-1,1500
150,WT000G-6L0VHTR-1,1000
150,WT001I-6L0VHTR-1,1500
150,WT001K-6L2VHTR-6,80
150,WT001Q-6HBVXTR-1,500
150,WT001Y-6HSPDTR-1,0
150,WT0018-6QUVCTR-6,0
150,WT002N-6QUVCTR-6,140
150,WT002R-6QUVHMT-6,0
