NO,store_delivery_code,delivery_date,store_name,product_code,stock_code,product_name,amount,unit_price,order_sts
15,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT001M-6VIVHTR-6,FBT-XQ7F11-1WPWHT (FBT-XQ7F11-0WPWHT),Vòi h? Victoria 2 ??u v?n 701 (c? sen). Màu tr?ng,3,164000,Hoàn t?t
16,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,2,116000,Hoàn t?t
17,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,1,130000,Hoàn t?t
18,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,2,41000,Hoàn t?t
19,FDEL_241123_0127_NORM,2023-11-24,KHÁCH L? PKH,WT011Z-6HSPDTR-1,FHC-R11240-1WPWHT,Dây c?p PVC RI 24in (6 t?c) b?ng plastics,4,50000,Hoàn t?t
20,FDEL_061223_0030_NORM,2023-12-06,"SEC - HÀNG M?T, HÀNG TH?T THOÁT",WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,20,79000,Hoàn t?t
21,FDEL_061223_0031_NORM,2023-12-06,"SEC - HÀNG M?T, HÀNG TH?T THOÁT",VG0005_21INPSST_1,VG77-TW,"Vòi h? 2 ??u g?t VG77-TW, b?ng thép không g?, hi?u Vandguard",10,240000,Hoàn t?t
22,FDEL_021223_0008_NORM,2023-12-02,KHÁCH L? PKH,WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,1,130000,Hoàn t?t
23,FDEL_021223_0008_NORM,2023-12-02,KHÁCH L? PKH,WT001M-6VIVHTR-6,FBT-XQ7F11-1WPWHT (FBT-XQ7F11-0WPWHT),Vòi h? Victoria 2 ??u v?n 701 (c? sen). Màu tr?ng,1,164000,Hoàn t?t
24,FDEL_231223_0131_NORM,2023-12-23,SHOPEE_OFFICIAL,WT001N-6MOVHTR-6,FBT-MQ7F11-0WPWHT,Vòi h? Monaco 2 ??u v?n 701 (c? sen). Màu tr?ng,1,187000,Hoàn t?t
25,FDEL_211223_0115_NORM,2023-12-21,SHOPEE_OFFICIAL,WT0039-7KAVCTM-6,FWT-NS1035-0WXWHC,Vòi r?a chén cao c?p âm t??ng tr?ng chrome (katana),1,235000,Hoàn t?t
26,FDEL_181223_0098_NORM,2023-12-18,SHOPEE_OFFICIAL,WT0017-6MOVCTR-6,FST-MS2F31-1WPWHT (FST-MS2F31-0WPWHT),Vòi r?a chén âm ch?u tay v?n Monaco 203 M b?ng plastic. Màu tr?ng,1,189000,Hoàn t?t
27,FDEL_141223_0086_NORM,2023-12-14,SHOPEE_OFFICIAL,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,1,79000,Hoàn t?t
28,FDEL_121223_0073_NORM,2023-12-12,SHOPEE_OFFICIAL,WT0017-6MOVCTR-6,FST-MS2F31-1WPWHT (FST-MS2F31-0WPWHT),Vòi r?a chén âm ch?u tay v?n Monaco 203 M b?ng plastic. Màu tr?ng,1,189000,Hoàn t?t
29,FDEL_121223_0067_NORM,2023-12-12,SHOPEE_OFFICIAL,WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,1,130000,Hoàn t?t
30,FDEL_121223_0066_NORM,2023-12-12,SHOPEE_OFFICIAL,WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,1,130000,Hoàn t?t
31,FDEL_111223_0056_NORM,2023-12-11,SHOPEE_OFFICIAL,WT0134-7HBVXTR-1,FHF-HB5010-0WPWHT,Vòi x?t v? sinh Valiox 501 b?ng plastic. Màu tr?ng,1,88000,Hoàn t?t
32,FDEL_071223_0035_NORM,2023-12-07,SHOPEE_OFFICIAL,WT011R-6HBVXTM-1,FHF-HB3110-01LWHC,Vòi x?t v? sinh Vanoz 311 b?ng plastic. Màu tr?ng b?c,1,182000,Hoàn t?t
33,FDEL_061223_0023_NORM,2023-12-06,SHOPEE_OFFICIAL,WT011U-6HBVXTX-1,FHF-HB2010-0WP2WG,Dây x?t v? sinh tr?ng xám Vitus 201,1,144000,Hoàn t?t
34,FDEL_041223_0013_NORM,2023-12-04,SHOPEE_OFFICIAL,WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,3,195000,Hoàn t?t
35,FDEL_041223_0013_NORM,2023-12-04,SHOPEE_OFFICIAL,WT0017-6MOVCTR-6,FST-MS2F31-1WPWHT (FST-MS2F31-0WPWHT),Vòi r?a chén âm ch?u tay v?n Monaco 203 M b?ng plastic. Màu tr?ng,1,189000,Hoàn t?t
36,FDEL_041223_0013_NORM,2023-12-04,SHOPEE_OFFICIAL,WT002N-6QUVCTR-6,FWT-QS1F30-0QPWHT (FWT-QS1F30-1WPWHT),Vòi r?a chén âm t??ng tay g?t Quatro 103,1,182000,Hoàn t?t
37,FDEL_011223_0003_NORM,2023-12-01,SHOPEE_OFFICIAL,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,2,116000,Hoàn t?t
38,FDEL_011223_0005_NORM,2023-12-01,SHOPEE_OFFICIAL,WT0075-8KAVLTM-6,FPT-LK1010-1WXWHC (FPT-LK1010-0WXWHC),Vòi lavabo cao c?p Katana tr?ng b?c 101 h?p trong su?t,1,244000,Hoàn t?t
39,FDEL_291123_0159_NORM,2023-11-29,SHOPEE_OFFICIAL,WT011R-6HBVXTM-1,FHF-HB3110-01LWHC,Vòi x?t v? sinh Vanoz 311 b?ng plastic. Màu tr?ng b?c,1,182000,Hoàn t?t
40,FDEL_291123_0159_NORM,2023-11-29,SHOPEE_OFFICIAL,WT0075-8KAVLTM-6,FPT-LK1010-1WXWHC (FPT-LK1010-0WXWHC),Vòi lavabo cao c?p Katana tr?ng b?c 101 h?p trong su?t,1,244000,Hoàn t?t
41,FDEL_281123_0144_NORM,2023-11-28,SHOPEE_OFFICIAL,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,1,79000,Hoàn t?t
42,FDEL_201123_0098_NORM,2023-11-20,SHOPEE_OFFICIAL,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,1,116000,Hoàn t?t
43,FDEL_171123_0092_NORM,2023-11-17,SHOPEE_OFFICIAL,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,1,79000,Hoàn t?t
44,FDEL_131123_0066_NORM,2023-11-13,SHOPEE_OFFICIAL,WT0075-8KAVLTM-6,FPT-LK1010-1WXWHC (FPT-LK1010-0WXWHC),Vòi lavabo cao c?p Katana tr?ng b?c 101 h?p trong su?t,1,244000,Hoàn t?t
45,FDEL_131123_0065_NORM,2023-11-13,SHOPEE_OFFICIAL,WT001M-6VIVHTR-6,FBT-XQ7F11-1WPWHT (FBT-XQ7F11-0WPWHT),Vòi h? Victoria 2 ??u v?n 701 (c? sen). Màu tr?ng,1,164000,Hoàn t?t
46,FDEL_131123_0065_NORM,2023-11-13,SHOPEE_OFFICIAL,WT002N-6QUVCTR-6,FWT-QS1F30-0QPWHT (FWT-QS1F30-1WPWHT),Vòi r?a chén âm t??ng tay g?t Quatro 103,1,182000,Hoàn t?t
47,FDEL_111123_0063_NORM,2023-11-11,SHOPEE_OFFICIAL,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,1,79000,Hoàn t?t
48,FDEL_101123_0060_NORM,2023-11-10,SHOPEE_OFFICIAL,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,1,116000,Hoàn t?t
49,FDEL_101123_0060_NORM,2023-11-10,SHOPEE_OFFICIAL,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,2,79000,Hoàn t?t
50,FDEL_111123_0061_NORM,2023-11-11,SHOPEE_OFFICIAL,WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,1,130000,Hoàn t?t
51,FDEL_101123_0057_NORM,2023-11-10,SHOPEE_OFFICIAL,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,1,79000,Hoàn t?t
52,FDEL_101123_0058_NORM,2023-11-10,SHOPEE_OFFICIAL,WT011R-6HBVXTM-1,FHF-HB3110-01LWHC,Vòi x?t v? sinh Vanoz 311 b?ng plastic. Màu tr?ng b?c,2,182000,Hoàn t?t
53,FDEL_101123_0059_NORM,2023-11-10,SHOPEE_OFFICIAL,WT001G-6P0V2TR-3,FVR-P05F10-1WPWHT (FVR-P0501-WPWHT),Van Pico 2 ??u - 501B,1,54000,Hoàn t?t
54,FDEL_101123_0059_NORM,2023-11-10,SHOPEE_OFFICIAL,WT007J-20RVLTR-6,FPT-RB6F10-0WXCHR,Vòi lavabo tay v?n Roma 601 tr?ng than,1,162000,Hoàn t?t
55,FDEL_101123_0059_NORM,2023-11-10,SHOPEE_OFFICIAL,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,2,41000,Hoàn t?t
56,FDEL_061123_0026_NORM,2023-11-06,SHOPEE_OFFICIAL,WT011R-6HBVXTM-1,FHF-HB3110-01LWHC,Vòi x?t v? sinh Vanoz 311 b?ng plastic. Màu tr?ng b?c,1,182000,Hoàn t?t
57,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT001I-6L0VHTR-1,FBT-L05F1R-N4BWHT,Vòi h? Zemart L501B (f21). Màu tr?ng,4,23000,Hoàn t?t
58,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT002K-6MOV3TR-6,FVF-M15EC0-1WPWHT,Van Monaco 3 ??u - M+F 15E. Màu tr?ng,7,102000,Hoàn t?t
59,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT0017-6MOVCTR-6,FST-MS2F31-1WPWHT (FST-MS2F31-0WPWHT),Vòi r?a chén âm ch?u tay v?n Monaco 203 M b?ng plastic. Màu tr?ng,5,189000,Hoàn t?t
60,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT0003-6QUVLTR-6,FPT-QB2F12-0QPWHT (FPT-QB2F12-1WPWHT),Vòi lavabo tay g?t Quatro Q201,10,108000,Hoàn t?t
61,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT011P-6HBVXMT-1,FHF-HB2010-01LTIC,Dây x?t v? sinh b?c Vitus 201 (V?),1,260000,Hoàn t?t
62,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT003A-7KAVCTM-6,FST-N01030-0WXWHC,Vòi r?a chén âm ch?u cao c?p tr?ng chrome (Katana),6,244000,Hoàn t?t
63,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,7,116000,Hoàn t?t
64,FDEL_071223_0042_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,WT001G-6P0V2TR-3,FVR-P05F10-1WPWHT (FVR-P0501-WPWHT),Van Pico 2 ??u - 501B,1,54000,Hoàn t?t
65,FDEL_071223_0041_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,IS001Q_21PVPDTB_1,I16,"Dây c?p PVC I16 b?ng plastic ch?t li?u nh?a ABS, hi?u ISANO",52,32000,Hoàn t?t
66,FDEL_071223_0041_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,IS0013_21INV2MB_1,8100AV2,"Van 8100AV2 b?ng thép không g? m? k?m, hi?u ISANO",1,49000,Hoàn t?t
67,FDEL_071223_0041_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,IS001I_21ABPLMB_1,1332CH,"Xi phông thoát n??c 1332CH b?ng plastic,???ng kính 32mm, hi?u ISANO",1,32000,Hoàn t?t
68,FDEL_071223_0041_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,IS000M_22ABPXTB_1,1700BW,Dây x?t v? sinh 1700 ABS màu tr?ng ISANO,26,80000,Hoàn t?t
69,FDEL_071223_0041_NORM,2023-12-07,TH? KHO PKH - HÀNG TH?T THOÁT,IS0043-22INVCMB_1,1000FI,Vòi chén âm ch?u 1000FI màu b?c ISANO,2,350000,Hoàn t?t
70,FDEL_291223_0166_NORM,2023-12-29,C?A HÀNG TI?P NGÀ (KHÔNG B? PHI?U XU?T HÀNG),WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,160,116000,Hoàn t?t
71,FDEL_291223_0166_NORM,2023-12-29,C?A HÀNG TI?P NGÀ (KHÔNG B? PHI?U XU?T HÀNG),WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,332,195000,Hoàn t?t
72,FDEL_291223_0166_NORM,2023-12-29,C?A HÀNG TI?P NGÀ (KHÔNG B? PHI?U XU?T HÀNG),WT001G-6P0V2TR-3,FVR-P05F10-1WPWHT (FVR-P0501-WPWHT),Van Pico 2 ??u - 501B,200,54000,Hoàn t?t
73,FDEL_291223_0166_NORM,2023-12-29,C?A HÀNG TI?P NGÀ (KHÔNG B? PHI?U XU?T HÀNG),WT002N-6QUVCTR-6,FWT-QS1F30-0QPWHT (FWT-QS1F30-1WPWHT),Vòi r?a chén âm t??ng tay g?t Quatro 103,100,182000,Hoàn t?t
74,FDEL_291223_0168_NORM,2023-12-29,HAI CHÙA,WT002K-6MOV3TR-6,FVF-M15EC0-1WPWHT,Van Monaco 3 ??u - M+F 15E. Màu tr?ng,10,102000,Hoàn t?t
75,FDEL_291223_0168_NORM,2023-12-29,HAI CHÙA,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,26,79000,Hoàn t?t
76,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,500,79000,Hoàn t?t
77,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT0003-6QUVLTR-6,FPT-QB2F12-0QPWHT (FPT-QB2F12-1WPWHT),Vòi lavabo tay g?t Quatro Q201,40,108000,Hoàn t?t
78,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,60,195000,Hoàn t?t
79,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT011W-6HSVSTR-1,FSH-HS3F1H-0WPWHT,B? vòi sen 301 b?ng plastic. Màu tr?ng,100,130000,Hoàn t?t
80,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,60,41000,Hoàn t?t
81,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT011Z-6HSPDTR-1,FHC-R11240-1WPWHT,Dây c?p PVC RI 24in (6 t?c) b?ng plastics,40,50000,Hoàn t?t
82,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT001K-6L2VHTR-6,FBT-L26F11-0WPWHT,Vòi h? 2 ??u g?t L601B1/2B (c? sen). Màu tr?ng,70,79000,Hoàn t?t
83,FDEL_291223_0162_NORM,2023-12-29,CH TH??NG ?I?N - GIAO QU?N 5 (XH? : CÔNG TY TNHH VÂN TUY?N AP),WT0070-8VIVCTR-6,FST-XQ2F11-1WPWHT (FST-XQ2F11-0WPWHT),Vòi r?a chén âm ch?u tay v?n XQ201,1,192000,Hoàn t?t
84,FDEL_291223_0181_NORM,2023-12-29,CH TI?N NH?,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,27,116000,Hoàn t?t
85,FDEL_291223_0164_NORM,2023-12-29,CH TH?Y VÂN,WT011Z-6HSPDTR-1,FHC-R11240-1WPWHT,Dây c?p PVC RI 24in (6 t?c) b?ng plastics,80,50000,Hoàn t?t
86,FDEL_291223_0164_NORM,2023-12-29,CH TH?Y VÂN,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,120,41000,Hoàn t?t
87,FDEL_291223_0173_NORM,2023-12-29,CH Y?N TUY?T,WT0003-6QUVLTR-6,FPT-QB2F12-0QPWHT (FPT-QB2F12-1WPWHT),Vòi lavabo tay g?t Quatro Q201,40,108000,Hoàn t?t
88,FDEL_291223_0173_NORM,2023-12-29,CH Y?N TUY?T,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,60,41000,Hoàn t?t
89,FDEL_291223_0173_NORM,2023-12-29,CH Y?N TUY?T,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,100,79000,Hoàn t?t
90,FDEL_291223_0183_NORM,2023-12-29,HÙNG M? XUYÊN ( CH MINH KÝ ),WT011X-6HSPSTR-1,FKS-X07F11-0WLWHT,B? tay sen X701,10,329000,Hoàn t?t
91,FDEL_291223_0183_NORM,2023-12-29,HÙNG M? XUYÊN ( CH MINH KÝ ),WT001M-6VIVHTR-6,FBT-XQ7F11-1WPWHT (FBT-XQ7F11-0WPWHT),Vòi h? Victoria 2 ??u v?n 701 (c? sen). Màu tr?ng,11,164000,Hoàn t?t
92,FDEL_291223_0169_NORM,2023-12-29,CH HOÀNG D?NG,WT0003-6QUVLTR-6,FPT-QB2F12-0QPWHT (FPT-QB2F12-1WPWHT),Vòi lavabo tay g?t Quatro Q201,40,108000,Hoàn t?t
93,FDEL_291223_0169_NORM,2023-12-29,CH HOÀNG D?NG,WT0002-6MOVLTR-6,FPT-MB3F11-0WPWHT,Vòi lavabo Pillar Monaco 301M. Màu tr?ng,20,101000,Hoàn t?t
94,FDEL_291223_0169_NORM,2023-12-29,CH HOÀNG D?NG,WT011X-6HSPSTR-1,FKS-X07F11-0WLWHT,B? tay sen X701,10,329000,Hoàn t?t
95,FDEL_291223_0169_NORM,2023-12-29,CH HOÀNG D?NG,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,20,79000,Hoàn t?t
96,FDEL_291223_0169_NORM,2023-12-29,CH HOÀNG D?NG,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,40,41000,Hoàn t?t
97,FDEL_261223_0135_NORM,2023-12-26,CH HOÀNG THANH PHÁT,IS001Q_21PVPDTB_1,I16,"Dây c?p PVC I16 b?ng plastic ch?t li?u nh?a ABS, hi?u ISANO",30,32000,Hoàn t?t
98,FDEL_261223_0134_NORM,2023-12-26,CH HOÀNG THANH PHÁT,WT001I-6L0VHTR-1,FBT-L05F1R-N4BWHT,Vòi h? Zemart L501B (f21). Màu tr?ng,500,23000,Hoàn t?t
99,FDEL_261223_0134_NORM,2023-12-26,CH HOÀNG THANH PHÁT,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,50,116000,Hoàn t?t
100,FDEL_261223_0134_NORM,2023-12-26,CH HOÀNG THANH PHÁT,WT001N-6MOVHTR-6,FBT-MQ7F11-0WPWHT,Vòi h? Monaco 2 ??u v?n 701 (c? sen). Màu tr?ng,20,187000,Hoàn t?t
101,FDEL_261223_0134_NORM,2023-12-26,CH HOÀNG THANH PHÁT,WT011U-6HBVXTX-1,FHF-HB2010-0WP2WG,Dây x?t v? sinh tr?ng xám Vitus 201,30,144000,Hoàn t?t
102,FDEL_261223_0134_NORM,2023-12-26,CH HOÀNG THANH PHÁT,WT001H-6P2V3TR-3,FVR-P25F10-1WPWHT (FVR-P2511-WPWHT),Van Pico 3 ??u - 501B. Màu tr?ng,20,55000,Hoàn t?t
103,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,WT0018-6QUVCTR-6,FST-QS2F31-1WPWHT,Vòi r?a chén âm ch?u tay g?t Quatro b?ng plastic. Màu tr?ng,120,195000,Hoàn t?t
104,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,WT0003-6QUVLTR-6,FPT-QB2F12-0QPWHT (FPT-QB2F12-1WPWHT),Vòi lavabo tay g?t Quatro Q201,40,108000,Hoàn t?t
105,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,WT001K-6L2VHTR-6,FBT-L26F11-0WPWHT,Vòi h? 2 ??u g?t L601B1/2B (c? sen). Màu tr?ng,50,79000,Hoàn t?t
106,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,WT011Z-6HSPDTR-1,FHC-R11240-1WPWHT,Dây c?p PVC RI 24in (6 t?c) b?ng plastics,200,50000,Hoàn t?t
107,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,180,41000,Hoàn t?t
108,FDEL_291223_0165_NORM,2023-12-29,B?I - CTY H?U LONG - 0983597177,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,180,79000,Hoàn t?t
109,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,WT011Z-6HSPDTR-1,FHC-R11240-1WPWHT,Dây c?p PVC RI 24in (6 t?c) b?ng plastics,200,50000,Hoàn t?t
110,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,WT011Y-6HSPDTR-1,FHC-R11160-1WPWHT,Dây c?p PVC RI 16in (4 t?c) b?ng plastics,240,41000,Hoàn t?t
111,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,WT001I-6L0VHTR-1,FBT-L05F1R-N4BWHT,Vòi h? Zemart L501B (f21). Màu tr?ng,100,23000,Hoàn t?t
112,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,WT001S-6HBPXTM-1,FHF-HB3120-NWBWHC,??u x?t v? sinh 312,20,79000,Hoàn t?t
113,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,WT002K-6MOV3TR-6,FVF-M15EC0-1WPWHT,Van Monaco 3 ??u - M+F 15E. Màu tr?ng,30,102000,Hoàn t?t
114,FDEL_291223_0159_NORM,2023-12-29,CH GIA HÒA PHÁT,WT011Q-6HBVXTR-1,FHF-HB3010-0WPWHT,Vòi x?t v? sinh Vitus 301 b?ng plastic. Màu tr?ng,80,116000,Hoàn t?t
